query,seed,method,rank,qmof_id,formula,raw_density,raw_band_gap,raw_semantic_score,raw_stability_score,raw_graph_score,normalized_density_score,normalized_band_gap_score,normalized_semantic_score,normalized_stability_score,normalized_graph_score,availability_mask,active_objective_vector,pairwise_masked_distance,final_utility
stable porous MOFs for CO2 adsorption,42,GAT only,1,qmof-fd921b0,Co2C16H16N8O8,1.58214776,3.390441,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,GAT only,2,qmof-ec84fcf,Co2C20H16N28,1.767424228,2.596155,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,GAT only,3,qmof-0ea1d91,Co2C16H12N8O4,1.78772833,3.489909,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,GAT only,4,qmof-403e9cb,Co2C24H32N4O18,1.697328907,3.469655,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,GAT only,5,qmof-71748b1,Co2C34H26N10O10S6,1.740750274,3.369053,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,1,qmof-ec84fcf,Co2C20H16N28,1.767424228,2.596155,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,2,qmof-fd921b0,Co2C16H16N8O8,1.58214776,3.390441,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,3,qmof-275dcce,Co2Nd2C32H32N20O12,1.787505544,2.684298,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,4,qmof-0ea1d91,Co2C16H12N8O4,1.78772833,3.489909,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,5,qmof-f69d443,Co2C40H28N12O8,1.370451155,2.877886,0.7166666666666667,0.7,,0.7,1.0,0.7166666666666667,0.7,,1|1|1|1,0.7166666666666667|1.0|0.7|0.7,,0.7598757655234476
