query,seed,method,rank_i,rank_j,qmof_id_i,qmof_id_j,objective_score_distance,raw_physical_distance,notes
stable porous MOFs for CO2 adsorption,42,GAT only,1,2,qmof-fd921b0,qmof-ec84fcf,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GAT only,1,3,qmof-fd921b0,qmof-0ea1d91,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GAT only,1,4,qmof-fd921b0,qmof-403e9cb,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GAT only,1,5,qmof-fd921b0,qmof-71748b1,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GAT only,2,3,qmof-ec84fcf,qmof-0ea1d91,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GAT only,2,4,qmof-ec84fcf,qmof-403e9cb,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GAT only,2,5,qmof-ec84fcf,qmof-71748b1,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GAT only,3,4,qmof-0ea1d91,qmof-403e9cb,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GAT only,3,5,qmof-0ea1d91,qmof-71748b1,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GAT only,4,5,qmof-403e9cb,qmof-71748b1,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,1,2,qmof-ec84fcf,qmof-fd921b0,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,1,3,qmof-ec84fcf,qmof-275dcce,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,1,4,qmof-ec84fcf,qmof-0ea1d91,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,1,5,qmof-ec84fcf,qmof-f69d443,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,2,3,qmof-fd921b0,qmof-275dcce,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,2,4,qmof-fd921b0,qmof-0ea1d91,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,2,5,qmof-fd921b0,qmof-f69d443,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,3,4,qmof-275dcce,qmof-0ea1d91,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,3,5,qmof-275dcce,qmof-f69d443,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,GraphSAGE only,4,5,qmof-0ea1d91,qmof-f69d443,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA,1,2,qmof-c8f0292,qmof-b0a3596,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA,1,3,qmof-c8f0292,qmof-c631f72,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA,1,4,qmof-c8f0292,qmof-b2fddf8,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA,1,5,qmof-c8f0292,qmof-26c54ef,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA,2,3,qmof-b0a3596,qmof-c631f72,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA,2,4,qmof-b0a3596,qmof-b2fddf8,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA,2,5,qmof-b0a3596,qmof-26c54ef,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA,3,4,qmof-c631f72,qmof-b2fddf8,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA,3,5,qmof-c631f72,qmof-26c54ef,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA,4,5,qmof-b2fddf8,qmof-26c54ef,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA no diversity,1,2,qmof-c8f0292,qmof-b0a3596,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA no diversity,1,3,qmof-c8f0292,qmof-c631f72,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA no diversity,1,4,qmof-c8f0292,qmof-b2fddf8,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA no diversity,1,5,qmof-c8f0292,qmof-26c54ef,0.0,,previous final-masked protocol distance
stable porous MOFs for CO2 adsorption,42,LEA no diversity,2,3,qmof-b0a3596,qmof-c631f72,0.0,,previous final-masked protocol distance
