scenario,physical_weight,formula_weight,graph_weight,method,mean_diversity,diversity_rank,method_order_by_diversity,primary_order_changed_vs_default,notes
final_default_0.55_0.30_0.15,0.55,0.3,0.15,WeightedSum,0.018711538539024308,6,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
final_default_0.55_0.30_0.15,0.55,0.3,0.15,LEA,0.022364590496962256,5,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
final_default_0.55_0.30_0.15,0.55,0.3,0.15,MMR,0.024115774649926192,2,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
final_default_0.55_0.30_0.15,0.55,0.3,0.15,ParetoCrowding,0.026255304754297725,1,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
final_default_0.55_0.30_0.15,0.55,0.3,0.15,Random,0.023683892517479915,4,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
final_default_0.55_0.30_0.15,0.55,0.3,0.15,SemanticOnly,0.023985299993848262,3,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
final_default_0.55_0.30_0.15,0.55,0.3,0.15,TOPSIS,0.018711538539024308,6,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
reduced_physical_0.35_0.45_0.20,0.35,0.45,0.2,WeightedSum,0.020332567647926184,6,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
reduced_physical_0.35_0.45_0.20,0.35,0.45,0.2,LEA,0.023914230495882916,5,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
reduced_physical_0.35_0.45_0.20,0.35,0.45,0.2,MMR,0.026127198518868217,2,ParetoCrowding>MMR>SemanticOnly>Random>LEA>WeightedSum>TOPSIS,False,Saved final top-K lists rescored under alternative hybrid weights; primary rankings were not rerun.
