method,runtime_ms,rel_at_5,best_relevance,balance,diversity,hypervolume_proxy,ndcg_at_5,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,unique_at_5,missing_band_gap_top5
GAT only,0.03587832000192748,0.8479186742164481,0.8479186742164481,0.8483739164498594,0.01596974115198848,0.01039928842313579,1.0,0.6987142857142858,0.9,0.94,0.0,0.94,1.0,0.0
GraphSAGE only,0.03956164000044282,0.8479186742164481,0.8479186742164481,0.8483739164498594,0.020507026236264214,0.013398466347907352,1.0,0.6987142857142858,0.9,0.94,0.0,0.94,1.0,0.0
LEA,83.9205374399978,0.8479186742164481,0.8479186742164481,0.8483739164498594,0.022364590496962256,0.014101391565187353,1.0,0.6987142857142858,0.9,0.94,0.0,0.94,1.0,0.0
LEA + GAT,84.78029334000213,0.8479186742164481,0.8479186742164481,0.8483739164498594,0.015834364794339424,0.010348882514301567,1.0,0.6987142857142858,0.9,0.94,0.0,0.94,1.0,0.0
LEA + GraphSAGE,86.86317842000165,0.8479186742164481,0.8479186742164481,0.8483739164498594,0.020493921023754146,0.013393586765102002,1.0,0.6987142857142858,0.9,0.94,0.0,0.94,1.0,0.0
LEA no diversity,84.01671331999779,0.8479186742164481,0.8479186742164481,0.8483739164498594,0.022364590496962256,0.014101391565187353,1.0,0.6987142857142858,0.9,0.94,0.0,0.94,1.0,0.0
LEA no self-cleaning,85.81149661999945,0.8479186742164481,0.8479186742164481,0.8483739164498594,0.022364590496962256,0.014101391565187353,1.0,0.6987142857142858,0.9,0.94,0.0,0.94,1.0,0.0
MMR,2114.3592649800025,0.8479186742164481,0.8479186742164481,0.8483739164498594,0.024115774649926192,0.014987798184275404,1.0,0.6987142857142858,0.9,0.94,0.0,0.94,1.0,0.0
ParetoCrowding,215.58592909999788,0.8447057226848733,0.847459681140509,0.8469150273317045,0.026255304754297725,0.012547570024943333,0.9952164336828101,0.6987142857142858,0.76,0.94,0.0,0.94,1.0,0.7
Random,0.05241918000166379,0.7695101809685511,0.8025987157608125,0.871615900329384,0.023683892517479915,0.006653743730878234,0.8809422210874556,0.6987142857142858,0.6920000000000001,0.7803999999999999,0.0,0.7803999999999999,1.0,0.9
SemanticOnly,0.03413085999881105,0.7600456101103902,0.7713287434570553,0.8760522539580381,0.023985299993848262,0.005671232822221,0.8677948122583723,0.6987142857142858,0.6619999999999999,0.7636000000000002,0.0,0.7636000000000002,1.0,1.0
TOPSIS,1.0244207799993887,0.8479186742164481,0.8479186742164481,0.8483739164498594,0.018711538539024308,0.012137926249452851,1.0,0.6987142857142858,0.9,0.94,0.0,0.94,1.0,0.0
WeightedSum,0.04719081999752461,0.8479186742164481,0.8479186742164481,0.8483739164498594,0.018711538539024308,0.012137926249452851,1.0,0.6987142857142858,0.9,0.94,0.0,0.94,1.0,0.0
