query,query_id,seed,candidate_rank,qmof_id,semantic_score,relevance_score,availability_mask
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,1,qmof-a1a5849,0.65,0.897905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,2,qmof-13a76dd,0.65,0.897905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,3,qmof-ac6a77a,0.65,0.897905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,4,qmof-e566fbb,0.65,0.897905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,5,qmof-cef46c3,0.65,0.897905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,6,qmof-235f291,0.65,0.897905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,7,qmof-c0f392b,0.65,0.897905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,8,qmof-175a5d9,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,9,qmof-19d3c65,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,10,qmof-017128d,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,11,qmof-c82daac,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,12,qmof-b1cbe7a,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,13,qmof-e3dcc4d,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,14,qmof-3133aaf,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,15,qmof-a2d95c3,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,16,qmof-694fdb2,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,17,qmof-8deddd1,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,18,qmof-4050181,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,19,qmof-12544e7,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,20,qmof-4f9c014,0.65,0.793755,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,21,qmof-804ba67,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,22,qmof-a42d965,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,23,qmof-9d5a46c,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,24,qmof-077d8d1,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,25,qmof-2a3833a,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,26,qmof-4cc90a1,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,27,qmof-7d4712b,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,28,qmof-b9a0bc9,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,29,qmof-be4f504,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,30,qmof-7dbddd2,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,31,qmof-b2f66ca,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,32,qmof-ac415a0,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,33,qmof-01a0a8c,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,34,qmof-b95f9af,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,35,qmof-354fde1,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,36,qmof-5dcb48a,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,37,qmof-d3a4dfb,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,38,qmof-4ce68d1,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,39,qmof-92074bc,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,40,qmof-244cb4f,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,41,qmof-b9019be,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,42,qmof-9747028,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,43,qmof-8707b97,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,44,qmof-afe2748,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,45,qmof-c22186d,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,46,qmof-bdc19f7,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,47,qmof-d9d6cca,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,48,qmof-92f3405,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,49,qmof-e2ab328,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,50,qmof-e203bf0,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,51,qmof-02cf811,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,52,qmof-c59c1d6,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,53,qmof-879a6d6,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,54,qmof-05cf9f3,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,55,qmof-9f220e6,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,56,qmof-9fd94e8,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,57,qmof-32cb456,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,58,qmof-30e9498,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,59,qmof-74d7c88,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,60,qmof-d4fdde7,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,61,qmof-6d61160,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,62,qmof-14449b7,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,63,qmof-4a90838,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,64,qmof-2482286,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,65,qmof-2f1a847,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,66,qmof-dc328b4,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,67,qmof-0be7420,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,68,qmof-582048a,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,69,qmof-46ebf41,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,70,qmof-35f10de,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,71,qmof-a95989e,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,72,qmof-9433b10,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,73,qmof-74f2403,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,74,qmof-377ea80,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,75,qmof-a5b4f8a,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,76,qmof-e0ed021,0.65,0.747905,1|1|1|1
balanced stable MOF candidates for general materials discovery,q4_balanced_discovery,51,77,qmof-e411eea,0.65,0.747905,1|1|1|1
