query,query_id,seed,candidate_rank,qmof_id,semantic_score,relevance_score,availability_mask
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,1,qmof-19d3c65,0.755,0.78925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,2,qmof-e3dcc4d,0.755,0.78925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,3,qmof-4050181,0.755,0.78925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,4,qmof-017128d,0.755,0.78925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,5,qmof-a2d95c3,0.755,0.78925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,6,qmof-4f9c014,0.755,0.78925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,7,qmof-c82daac,0.755,0.78925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,8,qmof-175a5d9,0.755,0.78925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,9,qmof-8deddd1,0.755,0.78925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,10,qmof-694fdb2,0.755,0.78925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,11,qmof-3133aaf,0.755,0.78925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,12,qmof-b1cbe7a,0.755,0.78925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,13,qmof-6524f20,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,14,qmof-0aaa20a,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,15,qmof-c49d30b,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,16,qmof-3326c2a,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,17,qmof-399b130,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,18,qmof-176cc4f,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,19,qmof-788d319,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,20,qmof-22e67b2,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,21,qmof-a92f564,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,22,qmof-775dcac,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,23,qmof-bb40785,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,24,qmof-397dea5,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,25,qmof-2cfc395,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,26,qmof-cd0f2d8,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,27,qmof-ba6a246,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,28,qmof-24e658e,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,29,qmof-e834939,0.755,0.66925,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,43,30,qmof-b110f68,0.755,0.66925,1|1|1|1
