method,unique_catalog_items_selected,catalog_size,catalog_coverage
GAT only,17,20372,0.0008344786962497546
GraphSAGE only,17,20372,0.0008344786962497546
LEA,32,20372,0.0015707834282348322
LEA + GAT,27,20372,0.0013253485175731396
LEA + GraphSAGE,26,20372,0.0012762615354408012
LEA no diversity,32,20372,0.0015707834282348322
LEA no self-cleaning,32,20372,0.0015707834282348322
MMR,34,20372,0.0016689573924995092
ParetoCrowding,50,20372,0.002454349106616925
Random,236,20372,0.011584527783231886
SemanticOnly,163,20372,0.008001178087571175
TOPSIS,16,20372,0.0007853917141174161
WeightedSum,16,20372,0.0007853917141174161
