query,query_id,seed,method,rank,qmof_id,formula,availability_mask,relevance,balance,diversity_contribution,graph_score,final_score,runtime_ms,band_gap,density,semantic_score,band_gap_score,density_score,stability_score
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,SemanticOnly,1,qmof-fe6f735,Co2C58H64N8O12,1|1|1|1,0.6672849381728494,0.9107321446432144,0.0,,0.6672849381728494,0.035499999995636244,4.292873,1.418878739,0.7166666666666667,0.5,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,SemanticOnly,2,qmof-fd921b0,Co2C16H16N8O8,1|1|1|1,0.7598756790987566,0.8723203879496286,0.033690205295809274,,0.7598756790987566,0.035499999995636244,3.390441,1.58214776,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,SemanticOnly,3,qmof-f69d443,Co2C40H28N12O8,1|1|1|1,0.7598756790987566,0.8723203879496286,0.02508686603623237,,0.7598756790987566,0.035499999995636244,2.877886,1.370451155,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,SemanticOnly,4,qmof-f47b0d0,Co2C20H16N20,1|1|1|1,0.6672849381728494,0.9107321446432144,0.03328236105092681,,0.6672849381728494,0.035499999995636244,4.598984,1.747002045,0.7166666666666667,0.5,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,SemanticOnly,5,qmof-f343390,Co2C34H22N6O8,1|1|1|1,0.7598756790987566,0.8723203879496286,0.024542352658269095,,0.7598756790987566,0.035499999995636244,3.060735,1.790740334,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,WeightedSum,1,qmof-fd921b0,Co2C16H16N8O8,1|1|1|1,0.7598756790987566,0.8723203879496286,0.0,,0.7598756790987566,0.04737499999407646,3.390441,1.58214776,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,WeightedSum,2,qmof-f69d443,Co2C40H28N12O8,1|1|1|1,0.7598756790987566,0.8723203879496286,0.017994121113278753,,0.7598756790987566,0.04737499999407646,2.877886,1.370451155,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,WeightedSum,3,qmof-f343390,Co2C34H22N6O8,1|1|1|1,0.7598756790987566,0.8723203879496286,0.01446230513048269,,0.7598756790987566,0.04737499999407646,3.060735,1.790740334,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,WeightedSum,4,qmof-f2d872e,Co2C36H40N8O12,1|1|1|1,0.7598756790987566,0.8723203879496286,0.015981457580943253,,0.7598756790987566,0.04737499999407646,3.378082,1.334171796,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,WeightedSum,5,qmof-f0c9af4,Co2C50H38N10O12,1|1|1|1,0.7598756790987566,0.8723203879496286,0.01704207044594936,,0.7598756790987566,0.04737499999407646,2.642464,1.607919854,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,TOPSIS,1,qmof-fd921b0,Co2C16H16N8O8,1|1|1|1,0.7598756790987566,0.8723203879496286,0.0,,0.7598756790987566,1.0217079999961243,3.390441,1.58214776,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,TOPSIS,2,qmof-f69d443,Co2C40H28N12O8,1|1|1|1,0.7598756790987566,0.8723203879496286,0.017994121113278753,,0.7598756790987566,1.0217079999961243,2.877886,1.370451155,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,TOPSIS,3,qmof-f343390,Co2C34H22N6O8,1|1|1|1,0.7598756790987566,0.8723203879496286,0.01446230513048269,,0.7598756790987566,1.0217079999961243,3.060735,1.790740334,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,TOPSIS,4,qmof-f2d872e,Co2C36H40N8O12,1|1|1|1,0.7598756790987566,0.8723203879496286,0.015981457580943253,,0.7598756790987566,1.0217079999961243,3.378082,1.334171796,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,TOPSIS,5,qmof-f0c9af4,Co2C50H38N10O12,1|1|1|1,0.7598756790987566,0.8723203879496286,0.01704207044594936,,0.7598756790987566,1.0217079999961243,2.642464,1.607919854,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,ParetoCrowding,1,qmof-ba8d316,Co2C32H24O12,1|1|1|1,0.7598756790987566,0.8723203879496286,0.0,,0.7598756790987566,208.08649999999318,1.250046,1.746231048,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,ParetoCrowding,2,qmof-54f7ee7,Co2K2C48H44N4O6,1|1|1|1,0.7598756790987566,0.8723203879496286,0.019297118401298562,,0.7598756790987566,208.08649999999318,1.505111,1.497174385,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,ParetoCrowding,3,qmof-ec84fcf,Co2C20H16N28,1|1|1|1,0.7598756790987566,0.8723203879496286,0.03739819826852833,,0.7598756790987566,208.08649999999318,2.596155,1.767424228,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,ParetoCrowding,4,qmof-01f1640,Co2C28H20N8O8,1|1|1|1,0.7598756790987566,0.8723203879496286,0.01962880900561523,,0.7598756790987566,208.08649999999318,1.942124,1.64776998,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,ParetoCrowding,5,qmof-1ca4ac2,Co2Cu4Br4C30H60N6S12,1|1|1|1,0.7598756790987566,0.8723203879496286,0.03661351966393627,,0.7598756790987566,208.08649999999318,2.866054,1.689685123,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,Random,1,qmof-4324443,Co2C30H22N4O10,1|1|1|1,0.7598756790987566,0.8723203879496286,0.0,,0.7598756790987566,0.050375000000713044,3.439369,1.798488446,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,Random,2,qmof-5533340,Co2C38H20N8O14,1|1|1|1,0.7598756790987566,0.8723203879496286,0.024300200694891586,,0.7598756790987566,0.050375000000713044,2.218596,1.720487217,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,Random,3,qmof-3c5b84b,Co2C52Cl4H40N8O8,1|1|1|1,0.6672849381728494,0.9107321446432144,0.02312180796034837,,0.6672849381728494,0.050375000000713044,3.583374,1.606651944,0.7166666666666667,0.5,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,Random,4,qmof-79ff2bd,Co2C40H28N2O14,1|1|1|1,0.7598756790987566,0.8723203879496286,0.01386939172735827,,0.7598756790987566,0.050375000000713044,3.222612,1.727911851,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,Random,5,qmof-b0a3596,Co2C36H26N4O12,1|1|1|1,0.7598756790987566,0.8723203879496286,0.012008924099659847,,0.7598756790987566,0.050375000000713044,3.49187,1.704727415,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,MMR,1,qmof-82fb334,Co2C22H16N4O10,1|1|1|1,0.7598756790987566,0.8723203879496286,0.0,,0.7598756790987566,2148.1415000000084,2.753622,1.772529929,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,MMR,2,qmof-c1d4910,Ag2Co2C52H68N4O16,1|1|1|1,0.7598756790987566,0.8723203879496286,0.03123931132503642,,0.7598756790987566,2148.1415000000084,3.401985,1.591390503,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,MMR,3,qmof-54f7ee7,Co2K2C48H44N4O6,1|1|1|1,0.7598756790987566,0.8723203879496286,0.034715689384319105,,0.7598756790987566,2148.1415000000084,1.505111,1.497174385,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,MMR,4,qmof-ec84fcf,Co2C20H16N28,1|1|1|1,0.7598756790987566,0.8723203879496286,0.03365392488179789,,0.7598756790987566,2148.1415000000084,2.596155,1.767424228,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,MMR,5,qmof-330a403,Co2C58F12H32N8O8S2,1|1|1|1,0.7598756790987566,0.8723203879496286,0.02757722204378567,,0.7598756790987566,2148.1415000000084,2.471348,1.414912408,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,LEA,1,qmof-82fb334,Co2C22H16N4O10,1|1|1|1,0.7598756790987566,0.8723203879496286,0.0,,0.8471077178937196,86.23937500000523,2.753622,1.772529929,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,LEA,2,qmof-ba8d316,Co2C32H24O12,1|1|1|1,0.7598756790987566,0.8723203879496286,0.03022128726743559,,0.8035736179909525,86.23937500000523,1.250046,1.746231048,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,LEA,3,qmof-54f7ee7,Co2K2C48H44N4O6,1|1|1|1,0.7598756790987566,0.8723203879496286,0.02520158753740049,,0.8031487172116062,86.23937500000523,1.505111,1.497174385,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,LEA,4,qmof-ec84fcf,Co2C20H16N28,1|1|1|1,0.7598756790987566,0.8723203879496286,0.03299999199890818,,0.8019442118249523,86.23937500000523,2.596155,1.767424228,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,LEA,5,qmof-330a403,Co2C58F12H32N8O8S2,1|1|1|1,0.7598756790987566,0.8723203879496286,0.030463577744834224,,0.8018033879031088,86.23937500000523,2.471348,1.414912408,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,LEA no diversity,1,qmof-82fb334,Co2C22H16N4O10,1|1|1|1,0.7598756790987566,0.8723203879496286,0.0,,0.8471077178937196,82.98662500000376,2.753622,1.772529929,0.7166666666666667,1.0,0.7,0.7
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,LEA no diversity,2,qmof-ba8d316,Co2C32H24O12,1|1|1|1,0.7598756790987566,0.8723203879496286,0.03022128726743559,,0.7992320523526566,82.98662500000376,1.250046,1.746231048,0.7166666666666667,1.0,0.7,0.7
