query_id,seed,method,topk_overlap_with_weighted_sum,same_topk_set_as_weighted_sum
q1_co2_adsorption,42,GAT only,0.0,False
q1_co2_adsorption,42,GraphSAGE only,0.2,False
q1_co2_adsorption,42,LEA,0.0,False
q1_co2_adsorption,42,LEA + GAT,0.0,False
q1_co2_adsorption,42,LEA + GraphSAGE,0.2,False
q1_co2_adsorption,42,LEA no diversity,0.0,False
q1_co2_adsorption,42,LEA no self-cleaning,0.0,False
q1_co2_adsorption,42,MMR,0.0,False
q1_co2_adsorption,42,ParetoCrowding,0.0,False
q1_co2_adsorption,42,Random,0.0,False
q1_co2_adsorption,42,SemanticOnly,0.6,False
q1_co2_adsorption,42,TOPSIS,1.0,True
q1_co2_adsorption,42,WeightedSum,1.0,True
q1_co2_adsorption,43,GAT only,0.0,False
q1_co2_adsorption,43,GraphSAGE only,0.2,False
q1_co2_adsorption,43,LEA,0.0,False
q1_co2_adsorption,43,LEA + GAT,0.2,False
q1_co2_adsorption,43,LEA + GraphSAGE,0.2,False
q1_co2_adsorption,43,LEA no diversity,0.0,False
q1_co2_adsorption,43,LEA no self-cleaning,0.0,False
q1_co2_adsorption,43,MMR,0.0,False
q1_co2_adsorption,43,ParetoCrowding,0.0,False
q1_co2_adsorption,43,Random,0.0,False
q1_co2_adsorption,43,SemanticOnly,0.6,False
q1_co2_adsorption,43,TOPSIS,1.0,True
q1_co2_adsorption,43,WeightedSum,1.0,True
q1_co2_adsorption,44,GAT only,0.0,False
q1_co2_adsorption,44,GraphSAGE only,0.2,False
q1_co2_adsorption,44,LEA,0.0,False
q1_co2_adsorption,44,LEA + GAT,0.0,False
q1_co2_adsorption,44,LEA + GraphSAGE,0.2,False
q1_co2_adsorption,44,LEA no diversity,0.0,False
q1_co2_adsorption,44,LEA no self-cleaning,0.0,False
q1_co2_adsorption,44,MMR,0.0,False
q1_co2_adsorption,44,ParetoCrowding,0.0,False
q1_co2_adsorption,44,Random,0.0,False
q1_co2_adsorption,44,SemanticOnly,0.6,False
q1_co2_adsorption,44,TOPSIS,1.0,True
q1_co2_adsorption,44,WeightedSum,1.0,True
q1_co2_adsorption,45,GAT only,0.0,False
q1_co2_adsorption,45,GraphSAGE only,0.2,False
q1_co2_adsorption,45,LEA,0.0,False
q1_co2_adsorption,45,LEA + GAT,0.2,False
q1_co2_adsorption,45,LEA + GraphSAGE,0.2,False
q1_co2_adsorption,45,LEA no diversity,0.0,False
q1_co2_adsorption,45,LEA no self-cleaning,0.0,False
q1_co2_adsorption,45,MMR,0.0,False
q1_co2_adsorption,45,ParetoCrowding,0.0,False
q1_co2_adsorption,45,Random,0.2,False
q1_co2_adsorption,45,SemanticOnly,0.6,False
q1_co2_adsorption,45,TOPSIS,1.0,True
q1_co2_adsorption,45,WeightedSum,1.0,True
q1_co2_adsorption,46,GAT only,0.0,False
q1_co2_adsorption,46,GraphSAGE only,0.2,False
q1_co2_adsorption,46,LEA,0.0,False
q1_co2_adsorption,46,LEA + GAT,0.2,False
q1_co2_adsorption,46,LEA + GraphSAGE,0.2,False
q1_co2_adsorption,46,LEA no diversity,0.0,False
q1_co2_adsorption,46,LEA no self-cleaning,0.0,False
q1_co2_adsorption,46,MMR,0.0,False
q1_co2_adsorption,46,ParetoCrowding,0.0,False
q1_co2_adsorption,46,Random,0.0,False
q1_co2_adsorption,46,SemanticOnly,0.8,False
q1_co2_adsorption,46,TOPSIS,1.0,True
q1_co2_adsorption,46,WeightedSum,1.0,True
q1_co2_adsorption,47,GAT only,0.0,False
q1_co2_adsorption,47,GraphSAGE only,0.2,False
q1_co2_adsorption,47,LEA,0.0,False
q1_co2_adsorption,47,LEA + GAT,0.4,False
q1_co2_adsorption,47,LEA + GraphSAGE,0.4,False
q1_co2_adsorption,47,LEA no diversity,0.0,False
q1_co2_adsorption,47,LEA no self-cleaning,0.0,False
q1_co2_adsorption,47,MMR,0.0,False
q1_co2_adsorption,47,ParetoCrowding,0.0,False
q1_co2_adsorption,47,Random,0.0,False
q1_co2_adsorption,47,SemanticOnly,0.6,False
q1_co2_adsorption,47,TOPSIS,1.0,True
q1_co2_adsorption,47,WeightedSum,1.0,True
q1_co2_adsorption,48,GAT only,0.0,False
q1_co2_adsorption,48,GraphSAGE only,0.2,False
q1_co2_adsorption,48,LEA,0.0,False
q1_co2_adsorption,48,LEA + GAT,0.0,False
q1_co2_adsorption,48,LEA + GraphSAGE,0.0,False
q1_co2_adsorption,48,LEA no diversity,0.0,False
q1_co2_adsorption,48,LEA no self-cleaning,0.0,False
q1_co2_adsorption,48,MMR,0.0,False
q1_co2_adsorption,48,ParetoCrowding,0.0,False
q1_co2_adsorption,48,Random,0.2,False
q1_co2_adsorption,48,SemanticOnly,0.8,False
q1_co2_adsorption,48,TOPSIS,1.0,True
q1_co2_adsorption,48,WeightedSum,1.0,True
q1_co2_adsorption,49,GAT only,0.0,False
q1_co2_adsorption,49,GraphSAGE only,0.2,False
q1_co2_adsorption,49,LEA,0.0,False
q1_co2_adsorption,49,LEA + GAT,0.2,False
q1_co2_adsorption,49,LEA + GraphSAGE,0.4,False
q1_co2_adsorption,49,LEA no diversity,0.0,False
