method,metric,between_query_variance,within_query_seed_variance,variance_ratio_between_to_within,n_queries,n_observations
GAT only,rel_at_5,0.004815442624360025,0.0,481544.2624360025,5,50
GAT only,ndcg_at_5,0.0,0.0,0.0,5,50
GAT only,diversity,9.275989025800978e-06,2.6749027005378278e-36,927.5989025800978,5,50
GraphSAGE only,rel_at_5,0.004815442624360025,0.0,481544.2624360025,5,50
GraphSAGE only,ndcg_at_5,0.0,0.0,0.0,5,50
GraphSAGE only,diversity,1.8753796337704147e-05,2.6749027005378278e-36,1875.3796337704148,5,50
LEA,rel_at_5,0.004815442624360025,0.0,481544.2624360025,5,50
LEA,ndcg_at_5,0.0,0.0,0.0,5,50
LEA,diversity,4.0961406596512335e-05,2.911072122746344e-06,14.022730311089031,5,50
LEA + GAT,rel_at_5,0.004815442624360025,0.0,481544.2624360025,5,50
LEA + GAT,ndcg_at_5,0.0,0.0,0.0,5,50
LEA + GAT,diversity,8.704521072934621e-06,2.5954766165060385e-06,3.3408555723702644,5,50
LEA + GraphSAGE,rel_at_5,0.004815442624360025,0.0,481544.2624360025,5,50
LEA + GraphSAGE,ndcg_at_5,0.0,0.0,0.0,5,50
LEA + GraphSAGE,diversity,1.870078624429466e-05,2.8094278471418404e-06,6.632830225909966,5,50
LEA no diversity,rel_at_5,0.004815442624360025,0.0,481544.2624360025,5,50
LEA no diversity,ndcg_at_5,0.0,0.0,0.0,5,50
LEA no diversity,diversity,4.0961406596512335e-05,2.911072122746344e-06,14.022730311089031,5,50
LEA no self-cleaning,rel_at_5,0.004815442624360025,0.0,481544.2624360025,5,50
LEA no self-cleaning,ndcg_at_5,0.0,0.0,0.0,5,50
LEA no self-cleaning,diversity,4.0961406596512335e-05,2.911072122746344e-06,14.022730311089031,5,50
MMR,rel_at_5,0.004815442624360025,0.0,481544.2624360025,5,50
MMR,ndcg_at_5,0.0,0.0,0.0,5,50
MMR,diversity,6.278730952107237e-05,9.937439325096104e-07,62.55311488069315,5,50
ParetoCrowding,rel_at_5,0.004308989508012032,2.1067464376019117e-06,2035.6663563793402,5,50
ParetoCrowding,ndcg_at_5,0.00011441253355476988,6.042510762095311e-06,18.90331765641695,5,50
ParetoCrowding,diversity,8.722276495867603e-05,6.342360216049587e-06,13.730764942816519,5,50
Random,rel_at_5,0.006060496341768296,0.00026586849946056714,22.79423253126618,5,50
Random,ndcg_at_5,0.006259755940268433,0.0005142315267094303,12.172793551551269,5,50
Random,diversity,8.913279820367727e-06,2.831972569243015e-05,0.31462640751051824,5,50
SemanticOnly,rel_at_5,0.0068702304325336545,7.089685631000062e-05,96.89091845360356,5,50
SemanticOnly,ndcg_at_5,0.006223311020068167,0.00021430834961344152,29.03769570497783,5,50
SemanticOnly,diversity,3.6355521318117444e-06,2.059294243095018e-05,0.1764579085728231,5,50
TOPSIS,rel_at_5,0.004815442624360025,0.0,481544.2624360025,5,50
TOPSIS,ndcg_at_5,0.0,0.0,0.0,5,50
TOPSIS,diversity,3.519605749901889e-05,5.3498054010756555e-36,3519.6057499018893,5,50
WeightedSum,rel_at_5,0.004815442624360025,0.0,481544.2624360025,5,50
WeightedSum,ndcg_at_5,0.0,0.0,0.0,5,50
WeightedSum,diversity,3.519605749901889e-05,5.3498054010756555e-36,3519.6057499018893,5,50
