method,runtime_ms,rel_at_5,best_relevance,balance,diversity,hypervolume_proxy,ndcg_at_5,mean_semantic_score,mean_band_gap_score,mean_density_score,mean_porosity_score,mean_stability_score,coverage,missing_band_gap_top5
GAT only,0.03996416000175529,0.8479186420825873,0.8479186420825873,0.8483738586306572,0.01211560858602752,0.009046036978800796,1.0,0.6987142000000002,0.9,0.94,0.0,0.94,1.0,0.0
GraphSAGE only,0.04355242000071868,0.8475514470420552,0.8479186420825873,0.8482071281075477,0.00888351476553362,0.004948271681303773,0.9993034635763897,0.6987142000000002,0.884,0.94,0.0,0.94,1.0,0.08
LEA,93.68141333999957,0.8479186420825873,0.8479186420825873,0.8483738586306572,0.0,0.0,1.0,0.6987142000000002,0.9,0.94,0.0,0.94,1.0,0.0
LEA + GAT,96.74411754000066,0.8479186420825873,0.8479186420825873,0.8483738586306572,0.012746165830787503,0.009280818111644287,1.0,0.6987142000000002,0.9,0.94,0.0,0.94,1.0,0.0
LEA + GraphSAGE,97.48372667999938,0.8479186420825873,0.8479186420825873,0.8483738586306572,0.006959667680377606,0.0037610428649893415,1.0,0.6987142000000002,0.9,0.94,0.0,0.94,1.0,0.0
LEA no diversity,93.0340750199988,0.8479186420825873,0.8479186420825873,0.8483738586306572,0.0,0.0,1.0,0.6987142000000002,0.9,0.94,0.0,0.94,1.0,0.0
LEA no self-cleaning,93.60791419999998,0.8479186420825873,0.8479186420825873,0.8483738586306572,0.0,0.0,1.0,0.6987142000000002,0.9,0.94,0.0,0.94,1.0,0.0
MMR,1708.1196966599985,0.840049012445551,0.8479186420825873,0.8472117957472801,0.04,0.022326124184923506,0.9870693880932735,0.6987142000000002,0.86,0.94,0.0,0.94,1.0,0.0
ParetoCrowding,191.00665077999994,0.8479186420825873,0.8479186420825873,0.8483738586306572,0.0,0.0,1.0,0.6987142000000002,0.9,0.94,0.0,0.94,1.0,0.0
Random,0.04762996000085451,0.7695101423121571,0.8025986792785963,0.8716158467233182,0.045004738807678225,0.015057817745844932,0.880942208185317,0.6987142000000002,0.6920000000000001,0.7803999999999999,0.0,0.7803999999999999,1.0,0.9
SemanticOnly,0.05496325999990059,0.7600455707292701,0.7713287040759355,0.8760521984100342,0.03243708002567291,0.010330648898555941,0.8677947987125233,0.6987142000000002,0.6619999999999999,0.7636000000000002,0.0,0.7636000000000002,1.0,1.0
TOPSIS,1.2025783000012913,0.8479186420825873,0.8479186420825873,0.8483738586306572,0.0,0.0,1.0,0.6987142000000002,0.9,0.94,0.0,0.94,1.0,0.0
WeightedSum,0.050579239998591596,0.8479186420825873,0.8479186420825873,0.8483738586306572,0.0,0.0,1.0,0.6987142000000002,0.9,0.94,0.0,0.94,1.0,0.0
