query,query_id,seed,candidate_rank,qmof_id,semantic_score,available_descriptors,availability_mask
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,1,qmof-13a76dd,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,2,qmof-c0f392b,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,3,qmof-ac6a77a,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,4,qmof-e566fbb,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,5,qmof-cef46c3,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,6,qmof-5ee1a56,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,7,qmof-bc0218e,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,8,qmof-ad847be,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,9,qmof-8d86a35,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,10,qmof-67a153c,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,11,qmof-a498ebd,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,12,qmof-abf9b57,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,13,qmof-915b8e1,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,14,qmof-36654ac,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,15,qmof-ad02239,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,16,qmof-f429f3b,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,17,qmof-22f5c5c,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,18,qmof-48262eb,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,19,qmof-473d2b6,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,20,qmof-e44c0f4,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,21,qmof-d0592e2,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,22,qmof-6ea4b0d,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,23,qmof-95de001,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,24,qmof-e2ef78a,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,25,qmof-a838610,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,26,qmof-6cb849a,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,27,qmof-424203f,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,28,qmof-97d9145,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,29,qmof-313a301,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,50,30,qmof-90d1dd5,0.643333,semantic;band_gap;density;stability,1|1|1|1
