method,metric,between_query_variance,within_query_seed_variance,variance_ratio_between_to_within,n_queries,n_observations
GAT only,rel_at_5,0.0048154326994850625,2.7391003653507356e-33,481543.26994850626,5,50
GraphSAGE only,rel_at_5,0.0047523276038227875,2.059936355146488e-06,2295.8810264900485,5,50
LEA,rel_at_5,0.0048154326994850625,2.7391003653507356e-33,481543.26994850626,5,50
LEA + GAT,rel_at_5,0.0048154326994850625,2.7391003653507356e-33,481543.26994850626,5,50
LEA + GraphSAGE,rel_at_5,0.0048154326994850625,2.7391003653507356e-33,481543.26994850626,5,50
LEA no diversity,rel_at_5,0.0048154326994850625,2.7391003653507356e-33,481543.26994850626,5,50
LEA no self-cleaning,rel_at_5,0.0048154326994850625,2.7391003653507356e-33,481543.26994850626,5,50
MMR,rel_at_5,0.005226809138933051,5.478200730701471e-33,522680.91389330506,5,50
ParetoCrowding,rel_at_5,0.0048154326994850625,2.7391003653507356e-33,481543.26994850626,5,50
Random,rel_at_5,0.006060485010015293,0.00026586850611345594,22.79418934086066,5,50
SemanticOnly,rel_at_5,0.0068702180695641496,7.089685631000045e-05,96.89074409853929,5,50
TOPSIS,rel_at_5,0.0048154326994850625,2.7391003653507356e-33,481543.26994850626,5,50
WeightedSum,rel_at_5,0.0048154326994850625,2.7391003653507356e-33,481543.26994850626,5,50
