query,query_id,seed,candidate_rank,qmof_id,semantic_score,available_descriptors,availability_mask
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,1,qmof-68234b7,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,2,qmof-a5ebf1c,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,3,qmof-d8703ab,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,4,qmof-12ba7bc,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,5,qmof-5533340,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,6,qmof-8fe6d7b,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,7,qmof-3104826,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,8,qmof-c631f72,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,9,qmof-c8f0292,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,10,qmof-098256e,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,11,qmof-54f7ee7,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,12,qmof-26c54ef,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,13,qmof-edd4ef0,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,14,qmof-c96d53b,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,15,qmof-2bd31fe,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,16,qmof-3eba276,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,17,qmof-ba8d316,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,18,qmof-c0d0be0,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,19,qmof-01f1640,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,20,qmof-eb2e363,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,21,qmof-ec84fcf,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,22,qmof-b92e7e5,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,23,qmof-d4b9216,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,24,qmof-82fb334,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,25,qmof-466d3a2,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,26,qmof-2ba0cce,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,27,qmof-b78a98a,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,28,qmof-e2b9aa4,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,29,qmof-275dcce,0.716667,semantic;band_gap;density;stability,1|1|1|1
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,46,30,qmof-fd921b0,0.716667,semantic;band_gap;density;stability,1|1|1|1
