query,query_id,seed,candidate_rank,qmof_id,semantic_score,available_descriptors,availability_mask
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,1,qmof-13a76dd,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,2,qmof-ac6a77a,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,3,qmof-cef46c3,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,4,qmof-e566fbb,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,5,qmof-c0f392b,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,6,qmof-61fe6ed,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,7,qmof-31f7337,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,8,qmof-ce3c507,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,9,qmof-e5526f4,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,10,qmof-3422a7a,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,11,qmof-bc0149c,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,12,qmof-fcfab15,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,13,qmof-ea2f1f4,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,14,qmof-659dd1c,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,15,qmof-600a106,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,16,qmof-27e3cca,0.643333,semantic;band_gap;density;stability,1|1|1|1
photocatalytic MOFs with suitable band gaps,q2_photocatalysis,47,17,qmof-206e25b,0.643333,semantic;band_gap;density;stability,1|1|1|1
