query,query_id,seed,candidate_rank,qmof_id,semantic_score,available_descriptors,availability_mask
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,1,qmof-4050181,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,2,qmof-3133aaf,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,3,qmof-017128d,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,4,qmof-4f9c014,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,5,qmof-b1cbe7a,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,6,qmof-e3dcc4d,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,7,qmof-19d3c65,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,8,qmof-175a5d9,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,9,qmof-c82daac,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,10,qmof-a2d95c3,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,11,qmof-8deddd1,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,12,qmof-694fdb2,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,13,qmof-f61d5ce,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,14,qmof-4918b41,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,15,qmof-6736052,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,16,qmof-8ccac7c,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,17,qmof-af43c12,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,18,qmof-d3b7ad4,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,19,qmof-d9508ee,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,20,qmof-6c5262d,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,21,qmof-357e9e5,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,22,qmof-9c173b5,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,23,qmof-72887f0,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,24,qmof-ce3d638,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,25,qmof-1d7e777,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,26,qmof-8542c76,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,27,qmof-3fbfce0,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,28,qmof-0f0d142,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,29,qmof-2ad5c25,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,30,qmof-4c4f35c,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,31,qmof-d1115ca,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,32,qmof-e7ec131,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,33,qmof-5b955f2,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,34,qmof-0133865,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,35,qmof-311f528,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,36,qmof-943fcb0,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,37,qmof-9269a92,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,38,qmof-019efdd,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,39,qmof-2c4892a,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,40,qmof-22a8f48,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,41,qmof-5edf8d7,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,42,qmof-17096cd,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,43,qmof-f260694,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,44,qmof-25c87ad,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,45,qmof-02d78c0,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,46,qmof-f52e2c1,0.755,semantic;band_gap;density;stability,1|1|1|1
wide band gap insulating MOFs with low density,q5_insulating_frameworks,46,47,qmof-a862aee,0.755,semantic;band_gap;density;stability,1|1|1|1
