query,query_id,seed,method,rank,qmof_id,formula,semantic_score,band_gap,band_gap_available,density,density_available,stability_score,graph_score,availability_mask,relevance_score,balance_score,diversity_contribution,final_score,runtime_ms
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,SemanticOnly,1,qmof-fe6f735,Co2C58H64N8O12,0.716667,4.292873,True,1.418878739,True,0.7,,1|1|1|1,0.6672850245975401,0.910732090473175,0.0,0.6672850245975401,0.030874999999985775
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,SemanticOnly,2,qmof-fd921b0,Co2C16H16N8O8,0.716667,3.390441,True,1.58214776,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.25,0.7598757655234476,0.030874999999985775
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,SemanticOnly,3,qmof-f69d443,Co2C40H28N12O8,0.716667,2.877886,True,1.370451155,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.16666666666666666,0.7598757655234476,0.030874999999985775
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,SemanticOnly,4,qmof-f47b0d0,Co2C20H16N20,0.716667,4.598984,True,1.747002045,True,0.7,,1|1|1|1,0.6672850245975401,0.910732090473175,0.16666666666666666,0.6672850245975401,0.030874999999985775
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,SemanticOnly,5,qmof-f343390,Co2C34H22N6O8,0.716667,3.060735,True,1.790740334,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.15,0.7598757655234476,0.030874999999985775
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,WeightedSum,1,qmof-fd921b0,Co2C16H16N8O8,0.716667,3.390441,True,1.58214776,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.0,0.7598757655234476,0.0496670000000865
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,WeightedSum,2,qmof-f69d443,Co2C40H28N12O8,0.716667,2.877886,True,1.370451155,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.0,0.7598757655234476,0.0496670000000865
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,WeightedSum,3,qmof-f343390,Co2C34H22N6O8,0.716667,3.060735,True,1.790740334,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.0,0.7598757655234476,0.0496670000000865
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,WeightedSum,4,qmof-f2d872e,Co2C36H40N8O12,0.716667,3.378082,True,1.334171796,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.0,0.7598757655234476,0.0496670000000865
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,WeightedSum,5,qmof-f0c9af4,Co2C50H38N10O12,0.716667,2.642464,True,1.607919854,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.0,0.7598757655234476,0.0496670000000865
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,TOPSIS,1,qmof-fd921b0,Co2C16H16N8O8,0.716667,3.390441,True,1.58214776,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.0,0.7598757655234476,1.2213329999999356
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,TOPSIS,2,qmof-f69d443,Co2C40H28N12O8,0.716667,2.877886,True,1.370451155,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.0,0.7598757655234476,1.2213329999999356
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,TOPSIS,3,qmof-f343390,Co2C34H22N6O8,0.716667,3.060735,True,1.790740334,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.0,0.7598757655234476,1.2213329999999356
stable porous MOFs for CO2 adsorption,q1_co2_adsorption,42,TOPSIS,4,qmof-f2d872e,Co2C36H40N8O12,0.716667,3.378082,True,1.334171796,True,0.7,,1|1|1|1,0.7598757655234476,0.8723204284906387,0.0,0.7598757655234476,1.2213329999999356
