query_id,method,historical_topk_ids,final_topk_ids,topk_overlap,positions_changed,top_rank_changed
q1_co2_adsorption,LEA,qmof-f69d443|qmof-95efdd8|qmof-14eb177|qmof-f2d872e|qmof-145a0bf,qmof-c8f0292|qmof-b0a3596|qmof-c631f72|qmof-b2fddf8|qmof-26c54ef,0.0,5,True
q1_co2_adsorption,MMR,,qmof-82fb334|qmof-6ad2d37|qmof-51d789e|qmof-275dcce|qmof-99810c8,0.0,5,
q1_co2_adsorption,ParetoCrowding,qmof-f2d872e|qmof-95efdd8|qmof-1d78da0|qmof-f69d443|qmof-2fa85e9,qmof-fd921b0|qmof-f69d443|qmof-f343390|qmof-f2d872e|qmof-f0c9af4,0.4,5,True
q1_co2_adsorption,Random,qmof-14eb177|qmof-2f1a847|qmof-1c91623|qmof-1406ccc|qmof-54f7ee7,qmof-4324443|qmof-5533340|qmof-3c5b84b|qmof-79ff2bd|qmof-b0a3596,0.0,5,True
q1_co2_adsorption,SemanticOnly,qmof-1406ccc|qmof-51d789e|qmof-fd921b0|qmof-c1d4910|qmof-e268c52,qmof-fe6f735|qmof-fd921b0|qmof-f69d443|qmof-f47b0d0|qmof-f343390,0.2,5,True
q1_co2_adsorption,TOPSIS,qmof-f2d872e|qmof-f69d443|qmof-68234b7|qmof-c11323c|qmof-c96d53b,qmof-fd921b0|qmof-f69d443|qmof-f343390|qmof-f2d872e|qmof-f0c9af4,0.4,4,True
q1_co2_adsorption,WeightedSum,qmof-f2d872e|qmof-f69d443|qmof-68234b7|qmof-c11323c|qmof-c96d53b,qmof-fd921b0|qmof-f69d443|qmof-f343390|qmof-f2d872e|qmof-f0c9af4,0.4,4,True
q2_photocatalysis,LEA,qmof-cef46c3|qmof-b1cbe7a|qmof-ac6a77a|qmof-e566fbb|qmof-235f291,qmof-ac6a77a|qmof-c0f392b|qmof-cef46c3|qmof-e566fbb|qmof-13a76dd,0.6,4,True
q2_photocatalysis,MMR,,qmof-13a76dd|qmof-e566fbb|qmof-cef46c3|qmof-c0f392b|qmof-ac6a77a,0.0,5,
q2_photocatalysis,ParetoCrowding,qmof-cef46c3|qmof-b1cbe7a|qmof-ac6a77a|qmof-8deddd1|qmof-175a5d9,qmof-e566fbb|qmof-cef46c3|qmof-c0f392b|qmof-ac6a77a|qmof-13a76dd,0.4,5,True
q2_photocatalysis,Random,qmof-73ded45|qmof-25c9c0b|qmof-cc4c6c7|qmof-a9bd3f7|qmof-ea9f3ea,qmof-b0aae08|qmof-1e80f26|qmof-b792eba|qmof-6417424|qmof-c998a82,0.0,5,True
q2_photocatalysis,SemanticOnly,qmof-b47e703|qmof-700998f|qmof-0df7bd9|qmof-688ca67|qmof-da92f5a,qmof-fe36449|qmof-fda4509|qmof-fbc9303|qmof-f6f5670|qmof-f5690c7,0.0,5,True
q2_photocatalysis,TOPSIS,qmof-b1cbe7a|qmof-cef46c3|qmof-ac6a77a|qmof-e566fbb|qmof-8deddd1,qmof-e566fbb|qmof-cef46c3|qmof-c0f392b|qmof-ac6a77a|qmof-13a76dd,0.6,4,True
q2_photocatalysis,WeightedSum,qmof-cef46c3|qmof-ac6a77a|qmof-e566fbb|qmof-b1cbe7a|qmof-235f291,qmof-e566fbb|qmof-cef46c3|qmof-c0f392b|qmof-ac6a77a|qmof-13a76dd,0.6,5,True
