variant,between_query_variance_of_means,within_query_between_seed_variance_mean,variance_ratio_between_over_within,query_count,seed_rows
LEA baseline,0.03064770424068139,6.212624814140339e-07,49331.25019826584,5,50
LEA iter100,0.030657798329587226,1.0022343253051538e-06,30589.42102270517,5,50
LEA iter20,0.03066795925581895,9.584606401663102e-07,31997.064849144626,5,50
LEA iter40,0.030611351235702508,8.538071402992048e-07,35852.728254587964,5,50
LEA no balance,0.03064770424068139,6.212624814140339e-07,49331.25019826584,5,50
LEA no diversity,0.03055950307254635,0.0,30559503072.54635,5,50
LEA no self-cleaning,0.030578107176568163,9.172116304847838e-07,33338.07904542963,5,50
LEA pool200,0.03055534337181593,1.477051471956664e-06,20686.701354176676,5,50
LEA pool50,0.030559351198558557,4.792924773530929e-07,63759.16352403362,5,50
LEA pop100,0.030568484478477324,1.5003041053852734e-06,20374.845335627542,5,50
LEA pop20,0.03063881822389565,7.116499397833704e-07,43053.155010548064,5,50
LEA pop50,0.0306139974124503,1.3379050799263428e-06,22882.022790520336,5,50
MMR,0.03075425844525608,0.0,30754258445.25608,5,50
RandomRepeated,0.030125081579700248,4.846873956885698e-06,6215.361825438294,5,50
SemanticOnly,0.03014399361251742,0.0,30143993612.51742,5,50
WeightedSum,0.03055950307254635,0.0,30559503072.54635,5,50
