artifact,script,configuration,queries,seeds,candidate_pool_size,top_k,mask_aware,void_fraction_active,contains_topk_ids,notes
manuscript/lea_evaluation/aggregate_metrics.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/lea_evaluation/summary_metrics.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/lea_evaluation/top_rankings.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,yes,read-only copy under artifacts/historical_protocol
manuscript/lea_evaluation/lea_convergence.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/reviewer_revision_artifacts/ablation_metrics.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/reviewer_revision_artifacts/query_stratified_seed_results.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/reviewer_revision_artifacts/candidate_pool_size_summary.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/reviewer_revision_artifacts/lea_no_diversity_metric_identity.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/reviewer_revision_artifacts/variance_decomposition.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
manuscript/reviewer_revision_artifacts/per_query_method_summary.csv,historical saved artifact; original runner not present in final checkout,see manuscript/final_configuration.json and manuscript/protocol_audit.csv,five manuscript query scenarios,seed 42 for primary single-run; 42-51 where repeated-seed artifact exists,100 primary; 50/100/200 sensitivity where available,5,no; historical protocol preserved for comparison,historical CSV carries porosity_score=0.0 but final text excluded physical porosity claims,no,read-only copy under artifacts/historical_protocol
