query_id,query,method,rank,qmof_id,formula,band_gap,density,void_fraction,semantic_score,band_gap_score,density_score,porosity_score,stability_score,lea_score,baseline_score
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,1,qmof-1406ccc,Co2C28H24N12O12S6,2.943077,1.811820363,,0.45,1.0,0.54704490925,0.0,0.85,,0.45
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,2,qmof-51d789e,Co2C16H24O12,3.034007,1.634350468,,0.45,1.0,0.591412383,0.0,0.85,,0.45
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,3,qmof-fd921b0,Co2C16H16N8O8,3.390441,1.58214776,,0.45,1.0,0.60446306,0.0,0.85,,0.45
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,4,qmof-c1d4910,Ag2Co2C52H68N4O16,3.401985,1.591390503,,0.45,1.0,0.60215237425,0.0,0.85,,0.45
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,SemanticOnly,5,qmof-e268c52,Co2C28H24N8,3.826909,1.39905003,,0.45,0.9065974285714286,0.6502374925000001,0.0,0.85,,0.45
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,WeightedSum,1,qmof-f2d872e,Co2C36H40N8O12,3.378082,1.334171796,,0.45,1.0,0.6664570510000001,0.0,0.85,,0.474469
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,WeightedSum,2,qmof-f69d443,Co2C40H28N12O8,2.877886,1.370451155,,0.45,1.0,0.65738721125,0.0,0.85,,0.473108
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,WeightedSum,3,qmof-68234b7,Co2C30H32N2O14,3.266102,1.399169923,,0.45,1.0,0.65020751925,0.0,0.85,,0.472031
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,WeightedSum,4,qmof-c11323c,Co2C40H32N4O8,3.474905,1.402324029,,0.45,1.0,0.64941899275,0.0,0.85,,0.471913
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,WeightedSum,5,qmof-c96d53b,Co2C72H56N8O8,3.014331,1.404307277,,0.45,1.0,0.64892318075,0.0,0.85,,0.471838
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,1,qmof-f2d872e,Co2C36H40N8O12,3.378082,1.334171796,,0.45,1.0,0.6664570510000001,0.0,0.85,,0.483311
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,2,qmof-f69d443,Co2C40H28N12O8,2.877886,1.370451155,,0.45,1.0,0.65738721125,0.0,0.85,,0.482399
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,3,qmof-68234b7,Co2C30H32N2O14,3.266102,1.399169923,,0.45,1.0,0.65020751925,0.0,0.85,,0.481676
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,4,qmof-c11323c,Co2C40H32N4O8,3.474905,1.402324029,,0.45,1.0,0.64941899275,0.0,0.85,,0.481597
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,TOPSIS,5,qmof-c96d53b,Co2C72H56N8O8,3.014331,1.404307277,,0.45,1.0,0.64892318075,0.0,0.85,,0.481547
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,1,qmof-f2d872e,Co2C36H40N8O12,3.378082,1.334171796,,0.45,1.0,0.6664570510000001,0.0,0.85,,71.004745
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,2,qmof-95efdd8,Co2C50H40N8O8,4.008194,1.14838817,,0.45,0.8548017142857144,0.7129029575,0.0,0.85,,71.0047
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,3,qmof-1d78da0,Co2C16Cl4H12N8,3.902632,1.292027771,,0.45,0.8849622857142857,0.67699305725,0.0,0.85,,71.004669
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,4,qmof-f69d443,Co2C40H28N12O8,2.877886,1.370451155,,0.45,1.0,0.65738721125,0.0,0.85,,70.00473
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,ParetoCrowding,5,qmof-2fa85e9,Co2C30H24N8O10,4.206159,1.362972361,,0.45,0.7982402857142856,0.6592569097500001,0.0,0.85,,70.00457
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,1,qmof-14eb177,Co2C44H36N8O8,3.496948,1.411241713,,0.45,1.0,0.64718957175,0.0,0.85,,0.975622
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,2,qmof-2f1a847,Co2C66H48N4O12,3.171648,1.563157733,,0.45,1.0,0.6092105667500001,0.0,0.85,,0.970698
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,3,qmof-1c91623,Co2C40H32N8O10,3.573676,1.562765936,,0.45,0.9789497142857143,0.609308516,0.0,0.85,,0.96751
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,4,qmof-1406ccc,Co2C28H24N12O12S6,2.943077,1.811820363,,0.45,1.0,0.54704490925,0.0,0.85,,0.961898
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,Random,5,qmof-54f7ee7,Co2K2C48H44N4O6,1.505111,1.497174385,,0.45,1.0,0.62570640375,0.0,0.85,,0.926765
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,1,qmof-f69d443,Co2C40H28N12O8,2.877886,1.370451155,,0.45,1.0,0.65738721125,0.0,0.85,0.4808,
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,2,qmof-95efdd8,Co2C50H40N8O8,4.008194,1.14838817,,0.45,0.8548017142857144,0.7129029575,0.0,0.85,0.4801,
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,3,qmof-14eb177,Co2C44H36N8O8,3.496948,1.411241713,,0.45,1.0,0.64718957175,0.0,0.85,0.4797,
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,4,qmof-f2d872e,Co2C36H40N8O12,3.378082,1.334171796,,0.45,1.0,0.6664570510000001,0.0,0.85,0.4781,
q1_co2_adsorption,stable porous MOFs for CO2 adsorption,LEA,5,qmof-145a0bf,Co2C40H28N4O8,2.997371,1.524583442,,0.45,1.0,0.6188541395,0.0,0.85,0.4768,
q2_photocatalysis,semiconducting MOFs for photocatalysis with suitable band gap,SemanticOnly,1,qmof-b47e703,Zn2C52H44N4O8,3.342839,1.359530272,,1.0,1.0,0.6601174320000001,0.0,0.85,,1.0
q2_photocatalysis,semiconducting MOFs for photocatalysis with suitable band gap,SemanticOnly,2,qmof-700998f,Mg4C52H32N4O20,2.893457,1.215878681,,1.0,1.0,0.69603032975,0.0,0.85,,1.0
q2_photocatalysis,semiconducting MOFs for photocatalysis with suitable band gap,SemanticOnly,3,qmof-0df7bd9,Cu4C44H36N16,2.630135,1.179009193,,1.0,1.0,0.7052477017500001,0.0,0.85,,1.0
q2_photocatalysis,semiconducting MOFs for photocatalysis with suitable band gap,SemanticOnly,4,qmof-688ca67,Cu4C36H20N16O4,3.314783,1.185027717,,1.0,1.0,0.70374307075,0.0,0.85,,1.0
q2_photocatalysis,semiconducting MOFs for photocatalysis with suitable band gap,SemanticOnly,5,qmof-da92f5a,Cu4C44H36N16,2.693294,1.196556606,,1.0,1.0,0.7008608485000001,0.0,0.85,,1.0
q2_photocatalysis,semiconducting MOFs for photocatalysis with suitable band gap,WeightedSum,1,qmof-cef46c3,Zn2C48H32N8O8,2.913296,0.7895211,,1.0,1.0,0.802619725,0.0,0.85,,0.86171
