qmof_id,void_fraction,text_contains_void_fraction,text_excerpt
qmof-8a95c27,,True,"
            Material ID: qmof-8a95c27
            Formula: Ba2CuC6H14O16
            Band Gap: nan
            Density: 2.763246372
            Void Fraction: 
            "
qmof-019ba28,,True,"
            Material ID: qmof-019ba28
            Formula: Cu12C36H56I16N4S4
            Band Gap: nan
            Density: 3.22995179
            Void Fraction: 
            "
qmof-830ed1c,,True,"
            Material ID: qmof-830ed1c
            Formula: Co4C48H32N8O16
            Band Gap: nan
            Density: 1.557643653
            Void Fraction: 
            "
qmof-5bd4a24,,True,"
            Material ID: qmof-5bd4a24
            Formula: Co4C48H32N8O16
            Band Gap: nan
            Density: 1.616138595
            Void Fraction: 
            "
qmof-644aab4,,True,"
            Material ID: qmof-644aab4
            Formula: Zn2C50H32N6O8S4
            Band Gap: 2.901747
            Density: 1.596537318
            Void Fraction: 
            "
qmof-eaa4957,,True,"
            Material ID: qmof-eaa4957
            Formula: Ag6C10H10N4O12
            Band Gap: nan
            Density: 3.421198135
            Void Fraction: 
            "
qmof-ffa4c4a,,True,"
            Material ID: qmof-ffa4c4a
            Formula: Ag8C24H8N8O16
            Band Gap: nan
            Density: 3.595303929
            Void Fraction: 
            "
qmof-e813edb,,True,"
            Material ID: qmof-e813edb
            Formula: Ag8C24H16N8O20
            Band Gap: nan
            Density: 3.272600975
            Void Fraction: 
            "
qmof-f364177,,True,"
            Material ID: qmof-f364177
            Formula: Zn4C104H76N12O20
            Band Gap: nan
            Density: 1.524741073
            Void Fraction: 
            "
qmof-d2e3fe6,,True,"
            Material ID: qmof-d2e3fe6
            Formula: Zn4C104H76N12O20
            Band Gap: nan
            Density: 1.526090437
            Void Fraction: 
            "
