variant,rel_at_k_mean,rel_at_k_std,ndcg_at_k_mean,ndcg_at_k_std,diversity_mean,diversity_std,coverage_mean,coverage_std,novelty_mean,novelty_std,hypervolume_proxy_mean,hypervolume_proxy_std,runtime_ms_mean,runtime_ms_std,runs
LEA baseline,0.6939362221956253,0.1581742855877732,0.9959013443171763,0.005482247464133848,0.16624494329094885,0.2116387462232765,1.0,0.0,0.19159916549921036,0.17769725204725242,4.124495323054589e-10,2.0864775041325277e-10,129.1712408399998,21.740861812793206,50
LEA iter100,0.6938224786520004,0.15820143667451367,0.9957313540524814,0.005728399286730521,0.16177487947046756,0.20490642872898848,1.0,0.0,0.20303558379411699,0.20161416947412966,4.2097585417621984e-10,2.0725991646980583e-10,143.92893243999947,3.566041145454603,50
LEA iter20,0.6934901654720307,0.15822752288782005,0.9949306081955246,0.007198214229033475,0.1609508290141821,0.2013806367466062,1.0,0.0,0.2104165804386139,0.2113387556326176,4.272379933167869e-10,2.0535944870002147e-10,28.70109416000011,0.9502282924314812,50
LEA iter40,0.6941092872619629,0.15808112556593248,0.9962392892289074,0.004928367957555022,0.16185137771070005,0.20496371864049723,1.0,0.0,0.18529666244983672,0.17113701541599424,4.0778756982273734e-10,2.1203254574456903e-10,57.804446700000796,1.4806009563342328,50
LEA no balance,0.6939362221956253,0.1581742855877732,0.9959013443171763,0.005482247464133848,0.16624494329094885,0.2116387462232765,1.0,0.0,0.19159916549921036,0.17769725204725242,4.124495323054589e-10,2.0864775041325277e-10,87.30378083999975,3.066579622081357,50
LEA no diversity,0.6960913956165313,0.1579447153925891,1.0,0.0,0.016852908302098513,0.010443653977225098,1.0,0.0,0.08445323407649993,0.022438356391759954,3.457668764078096e-10,2.67253624747878e-10,124.1911723599994,11.201939158372516,50
LEA no self-cleaning,0.6940588694810867,0.15799545082485428,0.9962754509044963,0.005447303788767081,0.16721467562019826,0.2145574009028717,1.0,0.0,0.1867024627327919,0.16428752808690333,4.093101227398144e-10,2.0837981820495196e-10,84.54106251999963,0.9844166001630522,50
LEA pool200,0.693597418665886,0.15793825984295873,0.9948106389037192,0.007911067741669286,0.1715593346953392,0.21907532716827774,1.0,0.0,0.1971456725895405,0.12623316391761075,3.9943507806894373e-10,2.0880013356983807e-10,143.4033234200003,24.740170063664937,50
LEA pool50,0.6945328265428543,0.1579457163339395,0.9968292495407262,0.003859230393267267,0.17393408931791782,0.22265031880263914,1.0,0.0,0.15539583265781404,0.1299678076735233,3.973039633398123e-10,2.0960728847854471e-10,123.64809490000074,15.91112368569412,50
LEA pop100,0.6940611457824707,0.15797228462831864,0.9962343742491256,0.005732413517876976,0.14849394710734487,0.1959861033693018,1.0,0.0,0.18954231321811676,0.18796498350305568,4.107688084285646e-10,2.1643723968241756e-10,287.2438250599999,6.222432368555613,50
LEA pop20,0.6941150498390197,0.15815161630169675,0.9965275014646119,0.004387665723509058,0.17399191103875636,0.22331448879527682,1.0,0.0,0.18219896614551545,0.15046784300274815,4.050407687028468e-10,2.0749627467528535e-10,56.45730000000051,0.6966333825943175,50
LEA pop50,0.6939285373687745,0.15808936391869158,0.9959661834238244,0.005609492601308253,0.15819401673972608,0.19759816257908808,1.0,0.0,0.1926906369626522,0.18742971890726787,4.1251225380012357e-10,2.1124948800504054e-10,140.77676171999983,3.01111444892504,50
MMR,0.6884815871715546,0.15844720602828008,0.9873563387751628,0.006690665564295463,0.2105149507522583,0.17015546876348375,1.0,0.0,0.1479179948568344,0.10501452505392246,3.6893887389588544e-10,2.0175941644217186e-10,2.664540879999131,1.279111588778584,50
RandomRepeated,0.6826723366975784,0.15683224968463685,0.9742293277903797,0.012432312484776553,0.07401992315426469,0.1027546567699797,1.0,0.0,0.05464604366570711,0.05916516643830152,3.1248322857315796e-10,2.2191525937629276e-10,0.08238829999960506,0.034335606587454125,50
SemanticOnly,0.6817818880081177,0.15686727423049077,0.9702009286377066,0.01343000651160554,0.0330189349129796,0.020142938449209464,1.0,0.0,0.03273293059319258,0.017917765153940633,3.036527225731632e-10,2.3419496770803504e-10,0.0945825200011341,0.07232522715694979,50
WeightedSum,0.6960913956165313,0.1579447153925891,1.0,0.0,0.016852908302098513,0.010443653977225098,1.0,0.0,0.08445323407649993,0.022438356391759954,3.457668764078096e-10,2.67253624747878e-10,0.1322208999996355,0.060048030990335885,50
